productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
516299,Devil Fruits Collection Vol. 1,Devil Fruits Collection Vol 1,https://tcgplayer-cdn.tcgplayer.com/product/516299_200w.jpg,68,23304,https://cpt.tcgcsv.com/_w86,2023-11-03T04:03:24.393,1,34.99,42.98,125.0,40.44,,Normal
516301,Devil Fruits Collection Vol. 1 Case,Devil Fruits Collection Vol 1 Case,https://tcgplayer-cdn.tcgplayer.com/product/516301_200w.jpg,68,23304,https://cpt.tcgcsv.com/2x86,2023-11-03T04:03:24.393,1,,,,,,
593446,Devil Fruits Collection Vol. 2,Devil Fruits Collection Vol 2,https://tcgplayer-cdn.tcgplayer.com/product/593446_200w.jpg,68,23304,https://cpt.tcgcsv.com/XnM6,2024-11-08T05:09:23.557,1,29.99,44.99,60.0,45.03,,Normal
593447,Devil Fruits Collection Vol. 2 Case,Devil Fruits Collection Vol 2 Case,https://tcgplayer-cdn.tcgplayer.com/product/593447_200w.jpg,68,23304,https://cpt.tcgcsv.com/ZnM6,2024-11-08T05:09:23.557,1,,,,,,
